word,count
좋,97
여행,37
인터파크,29
있,26
앱,25
되,24
때,22
사용,22
예약,21
편리,21
이용,19
하기,19
투어,14
만족,12
호텔,12
편하,11
같다,11
항공,11
굿,11
쓰기,10
검색,10
많,10
가격,9
정보,9
싸다,8
필요,8
느리,8
어플,7
친절,7
최고,7
모바일,7
상품,7
숙소,7
저렴하,7
가이드,6
빠르,6
쿠폰,6
항공권,6
보기,6
감사,6
비교,6
결제,5
할인,5
숙박,5
개선,5
애용,4
최저,4
가성비,4
아웃,4
업데이트,4
불편,4
찾,4
구매,4
로그인,4
가능,4
카나다,3
구성,3
국적,3
즐기,3
제주,3
만들,3
고객,3
위하,3
유용,3
실시간,3
설명,3
다녀오,3
제주도,3
간편하,3
로그,3
클릭,3
관련,3
괜찮,3
곳,3
없,3
정렬,3
화면,3
도움,3
그렇,3
보이,3
인터,2
오늘,2
쵝,2
전화,2
시설,2
사장,2
여행자,2
모습,2
행복,2
일정,2
실행,2
홈페이지,2
헤어지,2
깔,2
확인,2
프로그램,2
박용수,2
조은,2
입장,2
찾아보,2
나오,2
해외여행,2
해외,2
날짜,2
나가,2
급하,2
사이트,2
파크,2
비싸,2
신속,2
카테고리,2
짜,2
다양,2
도착,2
항공사,2
뜨,2
초기,2
바라,2
조,2
패키지,2
맞추,2
상담자,2
맘,2
걸리,2
알,2
조회,2
행운,2
카드,2
네이버,2
개,2
기능,2
렉,2
해결,2
좋아하,2
상담,2
편안,2
선택,2
치,2
월,2
수수료,2
처음,2
만나,2
경험,1
안내,1
구하,1
여행사,1
의심,1
안,1
대하,1
처,1
추천,1
익숙하,1
금,1
저장,1
임시,1
믿음,1
폭넓,1
코로나,1
마,1
운영,1
표기,1
신뢰감,1
모두,1
함,1
시기,1
통하,1
얙,1
힐링,1
수정,1
다니,1
링,1
버퍼,1
외국,1
시도,1
원,1
정착,1
찬,1
마니아,1
무료,1
터,1
실망,1
에어부산,1
서울,1
성급,1
드리,1
부탁,1
계속,1
걱정,1
렌트카,1
내,1
괴,1
박일,1
짧,1
적극,1
박이,1
처리,1
용하,1
국내,1
패스,1
맛나,1
피드백,1
훌륭하,1
필수,1
놓,1
마음,1
혀,1
마을,1
성공,1
실속,1
성한,1
최선,1
칭찬,1
이로,1
신탄진로,1
동감,1
음식,1
일,1
형아,1
장성,1
와이,1
아이,1
날,1
이형,1
준,1
택,1
홍,1
여친,1
용,1
오빠,1
걸,1
가양,1
일중,1
프,1
조앙,1
우,1
김은혜,1
여행지,1
운,1
내용,1
포인트,1
포커,1
중학교,1
국장,1
정석,1
가계,1
학생,1
직업,1
엄마,1
정문,1
아기,1
인수,1
젊,1
주인,1
한옥,1
속,1
특가,1
여기,1
당일,1
저가,1
취소,1
접근,1
포,1
맛집,1
알맞,1
여전,1
제공,1
응대,1
알차,1
경제,1
슼,1
나이,1
엘씨,1
부탁드리,1
눈높이,1
올해,1
바베큐,1
펜션,1
앤,1
수,1
령,1
물어보,1
족보,1
주변,1
장소,1
전이,1
어떻,1
유익,1
이유,1
시작,1
나,1
유,1
코너,1
엄지,1
데이,1
관광,1
순간,1
후,1
페이,1
캐,1
카카오페이지,1
원하,1
남미,1
휴대폰,1
최상,1
품질,1
연결,1
신청,1
욬,1
발급,1
갖,1
한국,1
에어,1
토론토,1
월요일,1
단점,1
궁금증,1
시,1
어머니,1
항공편,1
세상,1
선물,1
경기,1
떠나,1
인간,1
살아가,1
삶,1
스토리,1
카카오톡,1
즐거움,1
모시,1
계획,1
일주,1
태국,1
말레이시아,1
싱가폴,1
예정,1
크루즈,1
생,1
시간,1
한눈,1
진행,1
나누,1
자체,1
버튼,1
일자,1
이월,1
버전,1
최신,1
아침,1
애증,1
리조트,1
속도,1
선,1
바뀌,1
멈추,1
누르,1
이전,1
생기,1
나우,1
체크인,1
재개,1
둘러보,1
구경,1
결재,1
뒤죽박죽,1
순,1
높,1
적용,1
담,1
리스트,1
대체,1
아끼,1
부분,1
적,1
짤,1
쩡,1
솔,1
포함,1
별도,1
입력,1
통합,1
사료,1
열정,1
아,1
들어가,1
고치,1
변하,1
나타나,1
창,1
활성,1
아이콘,1
표시,1
이렇,1
설정,1
시스템,1
접속,1
개인,1
출장,1
뒤,1
전,1
유럽,1
여기저기,1
전반,1
오랫동안,1
먹통,1
당황,1
라이브,1
오래전,1
돌아오,1
결국,1
배치,1
기획전,1
컨텐츠,1
마지막,1
원스톱,1
국내외,1
직관,1
기,1
합리,1
말,1
모르,1
습,1
저,1
혜택,1
오류,1
결정,1
항목,1
익스피디아,1
고민,1
출발,1
휴가지,1
오전,1
잡히,1
휴가,1
타,1
가독성,1
사,1
정확,1
대기,1
짜이,1
대비,1
티켓,1
후지,1
짐,1
떵,1
안정,1
둘째,1
태어나,1
기념,1
갑,1
여름휴가,1
웹,1
친구,1
여자,1
이번,1
경쟁력,1
구입,1
좌석,1
왕복,1
평일,1
주도,1
예매,1
안심,1
크,1
깔끔,1
비행기표,1
당,1
사랑,1
