word,count
있다,271
좋다,265
여행,233
일정,164
짜기,93
기능,73
어플,72
쓰다,66
도시,61
앱,58
지도,56
정보,54
계획,53
장소,52
없,48
추가,48
사용,48
검색,46
점,44
동선,40
나오,39
편하,36
공유,34
리뷰,33
편리,33
찾,32
맛집,31
가능,31
추천,31
도움,29
불편,28
알,28
거리,25
가계부,25
나라,23
사람,23
감사,23
유용,23
관광지,23
선택,22
구글,22
여행지,22
이동,22
지역,21
개선,21
짤,21
호텔,20
정리,19
남기,18
위치,17
후기,16
국내,16
시간,16
숙소,16
확인,16
길,15
다니,15
다음,14
연동,14
저장,14
최고,14
보이,14
들어가,14
준비,14
필요,14
등록,14
만들,13
날씨,13
메모,13
예약,13
앞,12
리스트,12
주변,12
뜨,12
경우,12
체크,12
대하,12
모르,12
입력,12
사진,11
유럽,11
한눈,11
가이드,11
부분,11
처음,11
친구,11
날짜,11
넣,11
금액,11
전체,11
알리,10
비용,10
제공,10
작성,10
생각,10
이용,10
자유,10
올리,9
계산,9
이번,9
다녀오,9
순서,9
표시,9
기본,9
다양,9
국가,9
기록,9
근처,9
경로,9
만족,9
예산,9
사용자,9
팁,9
완벽,8
덕분,8
수정,8
세우,8
날,8
여행자,8
일행,8
해결,8
내용,8
식당,8
빠르,8
설명,8
만드,8
오픈,8
해외여행,8
정도,8
글,8
나,8
해외,7
안,7
지출,7
예,7
장점,7
크,7
환율,7
누르,7
맞,7
위하,7
공항,7
코스,7
관광,7
다운,6
정산,6
주,6
식비,6
설정,6
루트,6
티켓,6
개,6
생기,6
어떻,6
원하,6
현지,6
교통,6
방법,6
포함,6
따르,6
한국,6
경비,6
챙기,6
연계,6
짱,5
드리,5
메인,5
유명,5
특정,5
바라,5
내역,5
나누,5
드,5
관리,5
최적,5
지정,5
수단,5
화면,5
깔,5
원,5
변경,5
적히,5
마음,5
알려주,5
립,5
분류,5
사이트,5
그렇,5
구매,5
효율,5
이름,5
블로그,4
레벨,4
페이지,4
가족,4
사항,4
건의,4
영업시간,4
바꾸,4
감동,4
방식,4
힘들,4
자동,4
버스,4
기대,4
모으,4
알아보,4
실제,4
음식점,4
가격,4
광고,4
적,4
일,4
박,4
연결,4
기간,4
지하철,4
단점,4
참고,4
필수,4
끝나,4
후,4
항공,4
인터넷,4
할인권,4
열리,4
트,4
보기,4
서비스,4
귀찮,4
주소,4
방문,4
찾아보,4
애용,4
추,4
기준,4
패스,4
떠나,4
올라오,4
표기,4
명소,4
비,4
말,4
가게,4
가지,4
여행객,4
카테고리,4
스케줄,4
좋아하,3
활용,3
동행,3
바르셀로나,3
싸,3
엑셀,3
스팟,3
강,3
숙박,3
강력,3
고르,3
서울,3
혜택,3
지금,3
제한,3
시작,3
마치,3
항목,3
맛,3
예전,3
주요,3
하루,3
기반,3
초기,3
비교,3
부족,3
총,3
맘,3
베트남,3
초보,3
종류,3
와이파이,3
파일,3
묶,3
발견,3
투어,3
출국,3
계산기,3
스페인,3
포인트,3
목록,3
살,3
개인,3
취소,3
그날,3
부탁,3
이렇,3
힘,3
돈,3
삼척시,3
알차,3
스케쥴,3
순,3
시,3
개별,3
업데이트,3
해당,3
저렴하,3
움직이,3
이용자,3
뒤,3
소개,3
용,3
맞추,3
교통편,3
깊,3
나중,3
이제,3
집,3
단위,2
아,2
언어,2
지원,2
마드리드,2
노선,2
네이버,2
자체,2
프랑스,2
최저,2
수,2
오른쪽,2
전철,2
업,2
오랜만,2
기존,2
예매,2
유저,2
볼거리,2
방향,2
동안,2
클릭,2
개발자,2
인생,2
입장료,2
다르,2
건물,2
경시청,2
갖,2
운영,2
시설,2
처리,2
각종,2
주의,2
팅,2
잔액,2
통화,2
진짜,2
홋카이도,2
오프라인,2
마크,2
존,2
키즈,2
노,2
이해,2
끝,2
얼마,2
감탄,2
위주,2
기,2
정확,2
비하,2
매력,2
남,2
상담,2
버전,2
웹,2
역,2
끼우,2
조정,2
정거장,2
동시,2
삭제,2
직선,2
발전,2
검색창,2
찍,2
휴대폰,2
실감,2
빼,2
상하이,2
궁금하,2
페북,2
엄마,2
개발,2
업로드,2
아이패드,2
재밌,2
폰,2
전화,2
실수,2
넘기,2
초대,2
적응,2
코로나,2
간편하,2
묶이,2
담기,2
일본,2
상세하,2
들어오,2
이상,2
세,2
문제,2
별도,2
감,2
달,2
