word,count
하,130
되,97
예약,95
없,75
여행,51
취소,48
호텔,43
있,41
연락,39
전화,38
앱,36
어플,36
트리플,31
쓰,30
고객,24
문의,22
가,21
일정,20
센터,20
좋,19
확인,19
일,18
검색,18
환불,17
주,16
말,16
나오,16
사용,15
전,15
광고,15
도시,15
삭제,14
많,14
보내,14
짜,14
메일,14
같,14
국내,13
상품,13
처리,12
곳,12
여행지,12
등록,12
정보,12
결제,12
이용,11
기능,11
지도,11
시간,11
불편,11
최악,11
장소,11
계획,11
돈,10
불가,10
코로나,10
티켓,10
이메일,10
가능,9
숙소,9
나,9
카톡,9
투어,9
답변,9
회사,9
모르,9
변경,9
연결,9
오,9
찾,9
바우처,8
문제,8
요청,8
해결,8
때,8
보,7
보이,7
상담,7
통하,7
기다리,7
비행기,7
글,7
이렇,7
업체,7
걸리,7
깔,7
확정,7
유명,7
읽,7
서비스,6
대응,6
가입,6
오픈,6
지역,6
가격,6
뒤,6
직원,6
정도,6
처음,6
답,6
