,id,reply
0,돌잔치때활잡음,말랑콩떡 둘이 장난치고 놀고있는거 너무 귀여워..
1,초록수필,"귀여움과 멍청함..고양이의 매력이죠
앙뚜와 나고 영상 자주 올려주세요 넘 귀여워요"
2,♡봉돌봉순봉준♡,너무기여워  나공 
3,jy j,"진짜 동물채널 진짜 자주보는데 나고같은 고양이 한번도 못봄 ㅠㅠ 진짜 유일무이 망충큐티냥이...
앙뚜도 너무너무 귀여운 베이비냥이페이스야..ㅠㅠ
진짜 심장에 해롭다......️"
4,덤보,나고는 진짜 코알라같으면서 새로운 생명체같다..
5,Joy Lee,생각보다 시크한 턱이 찹살떡인 고양이 너무 잘봤습니다
6,준배러 게임 스튜디오,말랑콩떡 너무 귀여워!!!
7,irin Addler,나고가 정말 사나고를 많이 닮았네요!
8,ㅁㅎㅈ,턱 긁을때 눈 감는거 진짜 너무 귀엽다 으아아아아
9,sato,턱 내미는거 너무 귀엽
10,별이달이,딱중요포인트만올려줘서딱조아요
11,melon musk,"나고의 에메랄드 눈빛과 
다크 그레이 머리통 색깔의 조합 
너무 매력적임"
12,시모에 코하루,귀여워
13,KALS,ㅎㅎ 오늘도 랜선 집사는 행복합니다~ ^^*
14,♡봉돌봉순봉준♡,ㅋㅋㅋㅋㅋㅋ순둥몰랑빵실나고
15,다뚱 DADDUNG,장난은 둘이 치고 털은 사나고가 치우는 합리적인 세상
16,박준희,마사지기야! 오래 오래 건강하게 살아야 한다~~!!
17,김지끙,턱이 찹쌀떡인 사나고도 보여주세요!
18,휴딩,사나고야! 나고님 말씀 잘 듣고 잘 커야한다!
19,아쿵,나고가 오랜만에 ㅎ 넘나 귀요미
